1,ADAPTADOR 2A3 MV,293.06,50,1,5,5
2,ADAPTADOR 2A3 STARBOX,431.00,100,1,2,2
3,ADAPTADOR 2A3,270.32,200,1,1,1
4,ADAPTADOR DE TOMA MULTIPLE RICHI,663.40,150,1,19,19
5,ADAPTADOR MOSQUITO PATA PLANA,280.00,20,1,19,19
6,ADAPTADOR MOSQUITO PATA REDONDA,280.00,20,1,19,19
7,ADAPTADOR 2A3 MIG,323.10,100,1,4,5
8,ADAPTADOR 2A3 TURISTA MIG,334.14,100,1,4,5
9,ADAPTADOR TRIPLE PATA PLANA MIG,428.70,50,1,4,5
10,ADAPTADOR TRIPLE PATA REDONDA MIG,428.70,50,1,4,5
11,ADAPTADOR PARA TABLETAS MOSQUITOS,300.00,0,1,14,14
12,FICHA AMERICANA PLANA,160.00,100,1,19,19
13,FICHA AMERICA MIG,316.50,100,1,4,5
14,FICHA AMERICANA STARBOX,431.00,100,1,2,2
15,FICHA CALEFON,337.30,100,1,5,5
16,FICHA MACHO 2 PATAS PLANAS,374.76,200,1,1,1
17,FICHA MACHO 2 PATAS REDONDAS,374.76,300,1,1,1
18,FICHA HEMBRA 2 PATAS PLANAS,374.76,300,1,1,1
19,FICHA MACHO KALOP,512.00,150,1,134,5
20,FICHA HEMBRA KALOP,512.00,150,1,134,5
21,FICHA MACHO ECO 3 PATAS,311.17,0,1,1,1
22,FICHA HEMRA ECO 3 PATAS,311.17,0,1,1,1
23,FICHA MACHO STARBOX,322.00,100,1,2,2
24,FICHA HEMBRA STARBOX,322.00,100,1,2,2
25,FICHA HEMBRA NEON STARBOX,500.80,70,1,2,2
26,FICHA MACHO NEON STARBOX,500.80,70,1,2,2
27,FICHA MACHO LATERAL STARBOX,498.00,70,1,2,2
28,FICHA MACHO 10A MIG,430.60,50,1,4,5
29,FICHA HEMBRA 10A MIG,463.70,50,1,4,5
30,FICHA MACHO ALTO CONSUMO 10A MIG,491.70,40,1,4,5
31,FICHA HEMBRA ALTO CONSUMO 10A MIG,456.32,40,1,4,5
32,FICHA MACHO 20A MIG,589.00,40,1,4,5
33,FICHA HEMBRA 20A MIG,595.05,40,1,4,5
34,FICHA MACHO LATERAL CIOCCA PLAST,325.11,100,1,6,6
35,FICHA MACHO 20 LATERAL CIOCCA PLAST,710.43,50,1,6,6
36,FICHA MACHO C/ PRENSACABLE CIOCCA PLAST,314.11,200,1,6,6
37,FICHA HEMBRA C/ PRENSACABLE CIOCCA PLAST,389.00,200,1,6,6
38,FICHA HEMBRA 20A LATERAL CIOCCA,405.34,0,1,19,19
39,FICHA MACHO RICHI,474.50,150,1,19,19
40,FICHA HEMBRA RICHI,441.70,150,1,19,19
41,FICHA MACHO TAAD,500.00,50,1,126,5
42,FICHA HEMBRA TAAD,412.35,50,1,126,5
43,FICHA MACHO LATERAL NEGRA JELUZ,353.00,50,1,23,5
44,FICHA HEMBRA LATERAL C/MANIJA NEGRA JELUZ,353.00,50,1,23,5
45,FICHA MACHO LATERAL BLANCA JELUZ,353.00,50,1,23,5
46,FICHA HEMBRA LATERAL C/MANIJA BLANCA JELUZ,353.00,50,1,23,5
47,FICHA MACHO JELUZ,353.00,50,1,23,5
48,FICHA HEMBRA JELUZ,353.00,50,1,23,5
49,FICHA MACHO LATERAL JELUZ,353.00,50,1,23,5
50,FICHA HEMBRA LATERAL JELUZ,353.00,50,1,23,5
51,FICHA MACHO REF LATERAL NARANJA,704.13,0,1,1,1
52,FICHA HEMBRA REF LATERAL NARANJA,743.32,0,1,1,1
53,FICHA VELADOR PLANA BLANCA,250.47,300,1,1,1
54,FICHA VELADOR PLANA NEGRA,250.47,300,1,1,1
55,FICHA VELADOR BLANCA MIG,254.00,100,1,4,5
56,FICHA VELADOR NEGRA MIG,254.00,100,1,4,5
57,PERILLA VELADOR ECO BLANCA,281.25,100,1,1,1
58,PERILLA VELADOR ECO NEGRA,281.25,100,1,1,1
59,PERILLA VELADOR BLANCA MIG,257.60,100,1,4,5
60,PERILLA VELADOR NEGRA MIG,257.60,0,1,4,5
61,PIRAMIDE 2 CARAS REFORZADA PLANA,774.87,50,2,1,1
62,PIRAMIDE 2 CARAS REFORZADA REDONDA,774.87,50,2,1,1
63,PIRAMIDE 3 CARAS PLANAS VR PLAST,477.10,100,2,7,7
64,PIRAMIDE 3 CARAS REDONDAS VR PLAST,477.10,100,2,7,7
65,PIRAMIDE 3 CARAS REFORAZAS PLANAS,931.02,50,2,1,1
66,PIRAMIDE 3 CARAS REFORZADAS REDONDAS,932.02,50,2,1,1
67,MULTIFUNCION PLANA VR PLAST,477.10,80,2,7,7
68,MULTIFUNCION REDONDA VR PLAST,477.10,80,2,1,1
69,MULTIFUNCION REFORZADA PLANA,771.90,50,2,1,1
70,MULTIFUNCION REFORZADA REDONDA,771.90,50,2,1,1
71,TOMA SIMPLE ARMADO JELUZ,420.90,20,3,23,5
72,PUNTO SIMPLE ARMADO JELUZ,402.13,20,3,23,5
73,TECLON SIMPLE ARMADO JELUZ,402.13,20,3,23,5
74,PUNTO Y TOMA ARMADO JELUZ,590.24,20,3,23,5
75,DOBLE TOMA ARMADO JELUZ,609.02,20,3,23,5
76,DOBLE PUNTO ARMADO JELUZ,571.47,20,3,23,5
77,DOBLE PUNTO TECLON ARMADO JELUZ,571.47,20,3,23,5
78,TOMA SIMPLE EXT JELUZ,332.86,20,15,23,5
79,PUNTO SIMPLE EXT JELUZ,328.72,20,15,23,5
80,TOMA 20A EXT JELUZ,648.60,10,15,23,5
81,DOBLE TOMA EXT JELUZ,594.33,10,15,23,5
82,DOBLE PUNTO EXT JELUZ,620.90,10,15,23,5
83,PUNTO Y TOMA EXT JELUZ,607.60,10,15,23,5
84,PULSADOR EXT JELUZ,342.00,20,15,23,5
85,BASE MODULO EXT SIMPLE JELUZ,91.95,110,15,23,5
86,BASE MODULO EXT DOBLE JELUZ,154.00,60,15,23,5
87,TAPA MODULO EXT SIMPLE JELUZ,116.70,60,15,23,5
88,REPUESTO TOMA JELUZ,259.96,50,23,23,5
89,REPUESTO PUNTO JELUZ,236.92,50,23,23,5
90,REPUESTO PUNTO SIN LUMINOSO JELUZ,236.92,50,23,23,5
91,REPUESTO PUNTO COMBINADO JELUZ,289.98,50,23,23,5
92,REPUESTO TOMA 20A JELUZ,484.33,50,23,23,5
93,REPUESTO TAPA BASTIDOR 2000/2 JELUZ,196.69,50,23,23,5
